From,To,Similarity,X.y,fdd_var,cohort
difficulty falling asleep?,Difficulty sleeping,0.687,15507,v117_f1,cfas
difficulty falling asleep?,Difficulty sleeping,0.687,16001,v117_f3,cfas
difficulty falling asleep?,Difficulty sleeping,0.687,20192,v117_s6,cfas
difficulty falling asleep?,Difficulty sleeping,0.687,21186,v117_w8,cfas
difficulty falling asleep?,Difficulty sleeping,0.687,36699,v205_w1,cfasii
difficulty falling asleep?,Difficulty sleeping,0.687,37405,v188_w2,cfasii
psqi: overall sleep quality,Overall Sleep Quality Rating,0.687,84273,psqislpqual14x,mrc
rate: who answered sleep section?,Sleep Answer,0.686,19494,v120a_s0,cfas
rate: who answered sleep section?,Sleep Answer,0.686,21419,v120a_y0,cfas
"during the past month, how often have you had trouble sleeping because you:- feel too cold","Trouble Sleeping, Feel Too Cold",0.683,1640,SP10,camcan
type of sleeping problem,Problem with Sleep,0.683,19856,v118_s2,cfas
"during the past month, how often have you had trouble sleeping because you:- feel too hot","Trouble Sleeping, Feel Too Hot",0.681,1641,SP11,camcan
pittsberg sleep quality index total,Pittsburgh sleep quality index,0.679,84064,PSQI_Global,icicle
nightmares ever,"Nightmares, REM-sleep type",0.676,861,Night_Ever,ample
"during the past month, how often have you had trouble sleeping because you:- any other reasons, and if so how often?",Trouble Sleeping Because of Other Reason,0.674,1644,SP14,camcan
[c3 sleep disturbance] the file number as recorded on card 9,Sleep disturbances,0.673,7131,T0481 C3 General health and sleep disturbance quests,caps
how long troubled sleep?,Trouble sleeping in past 4W,0.672,9698,v86_a0,cfas
how long troubled sleep?,Trouble sleeping in past 4W,0.672,10132,v86_a2,cfas
[c3 sleep disturbance q11b] wake up during the night and have a hard time getting back to sleep? ,"In the past Y, have you awakened during the night and had a hard time getting back to sleep",0.671,3359,c3backtosleepdifficulty,caps
[c3 sleep disturbance q11b] wake up during the night and have a hard time getting back to sleep? ,"In the past Y, have you awakened during the night and had a hard time getting back to sleep",0.671,7121,T0481 C3 General health and sleep disturbance quests,caps
[c3 sleep disturbance q2] have you ever been told you snore? ,Sleep disturbances,0.67,3349,c3snoring,caps
[c3 sleep disturbance q2] have you ever been told you snore? ,Sleep disturbances,0.67,7168,T0481 C3 General health and sleep disturbance quests,caps
"during the past month, how often have you taken medicine to help you sleep?",Take Medicine to Help Sleep,0.67,84289,slmedi14x,mrc
psqi: sleep duration,Duration of sleep,0.667,84269,psqidurat14x,mrc
alice vignette: difficulty in sleeping in last 30 days,Difficulty sleeping,0.664,63469,shwake4,elsa
duration of cried out during sleep in months,Duration of sleep,0.663,872,Cried_Out_duration,ample
q79d do you experience sleep disturbance (s7),Sleep disturbances,0.661,85368,MSYMSLP,whitehall
q73e last mth- disturbed sleep (s8),Stress disturbed my sleep in past 7D,0.659,85504,KSLPDIST,whitehall
q73e disturbed/restless sleep in last 4 wks (s7),Distressed by Sleep that is Restless and Disturbed,0.657,85359,MSLPDIST,whitehall
obs - falls asleep,Asleep,0.655,10854,v361_c12,cfas
obs - falls asleep,Asleep,0.655,11440,v361_c14,cfas
obs - falls asleep,Asleep,0.655,12024,v361_c16,cfas
obs - falls asleep,Asleep,0.655,12630,v361_c2,cfas
obs - falls asleep,Asleep,0.655,13143,v361_c6,cfas
obs - falls asleep,Asleep,0.655,13697,v361_c8,cfas
obs - falls asleep,Asleep,0.655,14930,v361_cx,cfas
obs - falls asleep,Asleep,0.655,15772,v361_f1,cfas
obs - falls asleep,Asleep,0.655,16266,v361_f3,cfas
obs - falls asleep,Asleep,0.655,20484,v361_s6,cfas
obs - falls asleep,Asleep,0.655,21035,v361_w8,cfas
obs - falls asleep,Asleep,0.655,37132,v638_w1,cfasii
obs - falls asleep,Asleep,0.655,37828,v611_w2,cfasii
obs - falls asleep,Asleep,0.655,10854,v361_c12,cfas
obs - falls asleep,Asleep,0.655,11440,v361_c14,cfas
obs - falls asleep,Asleep,0.655,12024,v361_c16,cfas
obs - falls asleep,Asleep,0.655,12630,v361_c2,cfas
obs - falls asleep,Asleep,0.655,13143,v361_c6,cfas
obs - falls asleep,Asleep,0.655,13697,v361_c8,cfas
obs - falls asleep,Asleep,0.655,14930,v361_cx,cfas
obs - falls asleep,Asleep,0.655,15772,v361_f1,cfas
obs - falls asleep,Asleep,0.655,16266,v361_f3,cfas
obs - falls asleep,Asleep,0.655,20484,v361_s6,cfas
obs - falls asleep,Asleep,0.655,21035,v361_w8,cfas
obs - falls asleep,Asleep,0.655,37132,v638_w1,cfasii
obs - falls asleep,Asleep,0.655,37828,v611_w2,cfasii
[c3 sleep disturbance q11a] difficulty in getting to sleep? ,Sleep disturbances,0.654,3358,c3gettosleepdifficuly,caps
[c3 sleep disturbance q11a] difficulty in getting to sleep? ,Sleep disturbances,0.654,7147,T0481 C3 General health and sleep disturbance quests,caps
carol vignette: difficulty in sleeping in last 30 days,Difficulty sleeping,0.654,63465,shwake2,elsa
q56e last mth- disturbed sleep (s9),Stress disturbed my sleep in past 7D,0.654,85613,JSLPDIST,whitehall
during the past month how would you rate your sleep quality overall?,Overall Sleep Quality Rating,0.651,1646,SP16,camcan
no height: child asleep,Asleep,0.651,46870,nohtbc10,elsa
"during the past month, how would you rate your sleep quality overall?",Overall Sleep Quality Rating,0.651,84290,slqual14x,mrc
no weight: child asleep,Asleep,0.647,46883,nowtbc11,elsa
"[c3 sleep disturbance q11d] not feel rested during the day, no matter how many hours of sleep you had? ",Sleep or rest pattern disturbance,0.644,3361,c3notfeelrested,caps
"[c3 sleep disturbance q11d] not feel rested during the day, no matter how many hours of sleep you had? ",Sleep or rest pattern disturbance,0.644,7159,T0481 C3 General health and sleep disturbance quests,caps
q73a trouble falling asleep in last 4 wks (s7),"Trouble falling or staying asleep, or sleeping too much in last 2W",0.64,85360,MSLPFALL,whitehall
whether felt their sleep was restless during past week,My sleep was restless in past 7D,0.639,63276,pscedc,elsa
whether felt their sleep was restless during past week,My sleep was restless in past 7D,0.639,74936,PScedC,elsa
"r7sleepr:w7 r cesd: sleep was restless (0,1)",Sleep is Restless,0.633,41603,r7sleepr,elsa
"s7sleepr:w7 s cesd: sleep was restless (0,1)",Sleep is Restless,0.633,41610,s7sleepr,elsa
"r1sleepr:w1 r cesd: sleep was restless (0,1)",Restless sleep,0.632,41597,r1sleepr,elsa
"r2sleepr:w2 r cesd: sleep was restless (0,1)",Restless sleep,0.632,41598,r2sleepr,elsa
"r3sleepr:w3 r cesd: sleep was restless (0,1)",Sleep is Restless,0.632,41599,r3sleepr,elsa
"s1sleepr:w1 s cesd: sleep was restless (0,1)",Restless sleep,0.632,41604,s1sleepr,elsa
"s2sleepr:w2 s cesd: sleep was restless (0,1)",Restless sleep,0.632,41605,s2sleepr,elsa
"s3sleepr:w3 s cesd: sleep was restless (0,1)",Sleep is Restless,0.632,41606,s3sleepr,elsa
q73a last mth- trouble falling asleep (s,"Trouble falling or staying asleep, or sleeping too much in last 2W",0.632,85505,KSLPFALL,whitehall
"r4sleepr:w4 r cesd: sleep was restless (0,1)",Sleep is Restless,0.631,41600,r4sleepr,elsa
"s4sleepr:w4 s cesd: sleep was restless (0,1)",Sleep is Restless,0.631,41607,s4sleepr,elsa
